# 4 threads
# seq_matrix.cpp execute time:
## update:
10x10 32
10x10 29
10x10 29
10x10 30
10x10 26
10x10 118
10x10 35
10x10 25
10x10 24
10x10 23
10x10 22
10x10 21
10x10 23
10x10 28
10x10 22
10x10 22
10x10 28
10x10 22
10x10 29
10x10 22
10x10 23
10x10 21
10x10 22
10x10 22
10x10 67
10x10 24
10x10 70
10x10 22
10x10 26
10x10 20
10x10 20
10x10 26
10x10 22
10x10 24
10x10 17
10x10 22
10x10 21
10x10 22
10x10 23
10x10 33
10x10 22
10x10 23
10x10 27
10x10 28
10x10 23
10x10 30
10x10 28
10x10 22
10x10 21
10x10 20
10x10 23
10x10 32
10x10 22
10x10 31
100x100 1698
100x100 1423
100x100 1489
100x100 1422
100x100 1811
100x100 1795
100x100 2087
100x100 10107
100x100 1721
100x100 1742
100x100 1689
100x100 3140
100x100 2436
100x100 2605
100x100 1596
100x100 1204
100x100 1186
100x100 1179
100x100 1194
100x100 1357
100x100 1359
100x100 1590
100x100 1321
100x100 1168
100x100 1276
100x100 1275
100x100 1282
100x100 1142
100x100 1351
100x100 1268
100x100 1134
100x100 1264
100x100 1135
100x100 1198
100x100 1331
100x100 1148
100x100 1163
100x100 1299
100x100 1264
100x100 1501
100x100 1579
100x100 1507
100x100 1431
100x100 1219
100x100 1291
100x100 1171
100x100 1576
100x100 1275
100x100 1313
100x100 1140
100x100 1660
100x100 1321
100x100 1102
100x100 1110
100x100 1083
100x100 1248
100x100 1142
100x100 1141
100x100 1193
100x100 1161
100x100 1580
100x100 1603
100x100 1545
100x100 1590
100x100 1607
100x100 1264
100x100 1625
100x100 1315
100x100 1240
100x100 1442
100x100 1091
1000x1000 165229
1000x1000 133814
1000x1000 130038
1000x1000 128892
1000x1000 126709
1000x1000 125345
1000x1000 123718
1000x1000 122883
1000x1000 122524
1000x1000 119699
1000x1000 118912
1000x1000 117408
1000x1000 117218
1000x1000 115857
1000x1000 115434
1000x1000 114787
1000x1000 114334
1000x1000 114395
1000x1000 112858
1000x1000 113324
1000x1000 111671
1000x1000 117467
1000x1000 117159
1000x1000 109529
1000x1000 113872
1000x1000 109860
1000x1000 108902
1000x1000 109091
1000x1000 108727
1000x1000 108349
1000x1000 107712
1000x1000 106868
1000x1000 108751
1000x1000 107431
1000x1000 108930
1000x1000 107069
1000x1000 108020
1000x1000 114664
2000x2000 657737
2000x2000 544740
2000x2000 514736
2000x2000 512471
2000x2000 500965
2000x2000 495997
2000x2000 492087
2000x2000 486273
2000x2000 480244
2000x2000 475015
2000x2000 471057
2000x2000 467475
2000x2000 465612
2000x2000 466019
2000x2000 458893
2000x2000 457313
2000x2000 453281
2000x2000 450336
2000x2000 447329
2000x2000 444621
2000x2000 442601
2000x2000 463280
2000x2000 443049
2000x2000 443676
2000x2000 445698
2000x2000 442305
10000x10000 16351738
10000x10000 13391756
10000x10000 12888670
10000x10000 12777036
10000x10000 12743528
10000x10000 12413876
10000x10000 12243756
10000x10000 12191477
10000x10000 11993865
10000x10000 11888882
10000x10000 11813310
10000x10000 11707655
10000x10000 11649936
10000x10000 11548277
10000x10000 11465698
10000x10000 11397817
10000x10000 11312219
10000x10000 11273698


# par_matrix.cpp execute time:
## update:
10x10 6637
10x10 3404
10x10 1159
10x10 3900
10x10 2871
10x10 7135
10x10 3370
10x10 1196
10x10 3219
10x10 4651
10x10 4331
10x10 4760
10x10 4369
10x10 901
10x10 3805
10x10 9695
10x10 3848
10x10 6680
10x10 3365
10x10 3306
10x10 5456
10x10 5487
10x10 4658
10x10 4622
10x10 9562
10x10 6221
10x10 6485
10x10 6693
10x10 6628
10x10 6614
10x10 4557
10x10 6669
10x10 6645
10x10 4606
10x10 6606
10x10 6018
10x10 3488
10x10 6678
10x10 6937
100x100 7234
100x100 1674
100x100 6986
100x100 7354
100x100 7282
100x100 6264
100x100 6507
100x100 10333
100x100 7218
100x100 2284
100x100 5851
100x100 7039
100x100 5260
100x100 8627
100x100 2004
100x100 9971
100x100 7684
100x100 5211
100x100 8780
100x100 4387
100x100 5875
100x100 8818
100x100 4438
100x100 11688
100x100 8337
100x100 7036
100x100 6739
100x100 7830
100x100 7370
100x100 6272
100x100 4452
100x100 4117
100x100 4098
100x100 8153
1000x1000 64436
1000x1000 55294
1000x1000 55255
1000x1000 55537
1000x1000 55343
1000x1000 51821
1000x1000 50820
1000x1000 50339
1000x1000 50033
1000x1000 53950
1000x1000 53054
1000x1000 49276
1000x1000 48570
1000x1000 58230
1000x1000 51253
1000x1000 50314
1000x1000 49526
1000x1000 48756
1000x1000 50498
1000x1000 52884
1000x1000 52024
1000x1000 49520
1000x1000 49410
1000x1000 49583
1000x1000 48437
1000x1000 48223
1000x1000 47900
1000x1000 47340
1000x1000 47098
1000x1000 51595
1000x1000 49794
1000x1000 47433
1000x1000 46997
1000x1000 47594
1000x1000 47813
1000x1000 50250
2000x2000 242642
2000x2000 206579
2000x2000 206448
2000x2000 215930
2000x2000 200347
2000x2000 204154
2000x2000 196479
2000x2000 197976
2000x2000 196764
2000x2000 192172
2000x2000 245975
2000x2000 189937
2000x2000 197679
2000x2000 200924
2000x2000 190545
2000x2000 199791
2000x2000 194077
2000x2000 196286
2000x2000 196574
2000x2000 189364
2000x2000 209894
2000x2000 192516
2000x2000 186946
2000x2000 191798
2000x2000 185827
2000x2000 189506
2000x2000 185249
2000x2000 184527
2000x2000 191607
2000x2000 190720
2000x2000 184466
2000x2000 187405
2000x2000 185025
2000x2000 187475
2000x2000 184353
2000x2000 184427
2000x2000 188386
2000x2000 181668
2000x2000 181797
2000x2000 191903
2000x2000 181693
2000x2000 201120
2000x2000 181876
2000x2000 180345
2000x2000 191194
2000x2000 184489
2000x2000 179591
2000x2000 184859
2000x2000 179218
2000x2000 178634
2000x2000 183815
2000x2000 179292
2000x2000 182160
2000x2000 177655
2000x2000 177858
2000x2000 183878
2000x2000 178658
2000x2000 184661
2000x2000 182961
2000x2000 176278
10000x10000 6019294
10000x10000 5220111
10000x10000 5745756
10000x10000 5788300
10000x10000 5072300
10000x10000 4976692
10000x10000 5548733
10000x10000 5215135
10000x10000 4962980
10000x10000 4859522
10000x10000 4842304
10000x10000 4838341
10000x10000 4809980
10000x10000 4804267
10000x10000 4754660
10000x10000 4757658
