# omp Compare time:
size(nxn) seq_standard seq_row_by_row par_div4 par_row_by_row_div4
100 2055 2705 12188 8084
200 8508 7859 12082 8391
300 17141 15598 16503 17372
400 34758 32154 26856 23480
500 50247 42819 26698 36335
600 123673 70348 45654 42308
700 108370 96142 51744 46951
800 146040 132401 69382 79152
900 178452 161595 83253 87181
1000 220945 209911 121391 123049
100 2228 1846 7260 13100
200 8647 8676 19591 18238
300 30301 24115 17311 22085
400 59745 40189 24269 32030
500 56479 55326 32032 48276
600 77815 109256 62945 73852
700 119856 132452 67652 74430
800 225752 153346 78346 68491
900 159923 123834 56683 72810
1000 171947 153236 66629 79763
100 2020 1664 1126 624
200 8054 6845 6260 11167
300 16126 14081 9159 10586
400 30874 28014 12392 18682
500 51623 35549 14400 20986
600 61308 52736 23037 32797
700 89254 82538 32830 44605
800 119491 96260 41581 53788
900 141430 119542 59836 60286
1000 170451 148105 72532 82581
2000 696536 630754 304539 304209
3000 1740085 1477601 644460 824793
4000 2835559 2494147 1204378 1340865
5000 4810642 4070286 1692722 2205046
6000 6521906 5829795 2847084 2841627
7000 9671547 8536981 3643481 3626814
8000 12276318 12652950 6094524 6028295
9000 15988142 15999611 6067650 6607378
10000 19787464 17275268 8534414 8357479
11000 23096749 19921006 9826554 10676832
12000 29236544 25364255 12083500 12998685
13000 34077957 30224249 14892130 15156679
14000 38917717 34739456 16061387 17329271
15000 42717631 43353881 19475377 20858013
2000 717376 599666 283330 459094
3000 1708719 1834818 715601 758727
4000 3040873 2682492 1304006 1257573
5000 5621544 4102490 2141947 2584289
6000 6496668 5795290 2407005 2540870
7000 9079919 10152351 4066411 4566681
8000 12640903 10855534 5472756 6119841
9000 16134252 14172479 5770127 7040914
10000 18150937 15556385 6824916 7123596
11000 22157951 18738428 8106488 9439876
12000 27197443 23746161 11076325 13993053
13000 33686947 28727001 13536152 12772679
14000 37840653 32797550 14906317 17306987
15000 43663734 36970455 14860639 16121454
2000 684983 622069 269207 324162
3000 1630196 1373310 626283 666328
4000 2812100 2486834 1090433 1174860
5000 4474122 3990337 1666157 1806639
6000 6356949 5563136 3076223 3012100
7000 17569214 9803283 3772042 4043219
8000 11970186 9873483 4210436 4543500
9000 14494080 12788667 5419560 6781404
10000 18298388 15727859 7302625 7709509
11000 23740749 21214863 8865162 9290723
12000 29533208 23214366 10377095 11659926
13000 39787286 26867217 11806119 11958758
14000 35633794 31101322 12963623 14515820
15000 40399366 35425354 14877495 17899236
